as_of_month,eligible_count,average_risk,high_risk_count,high_risk_share,model_name
2025-07,3347,0.053360868024994054,201,0.06005377950403346,FS_FINAL_164_TUNED_LIGHTGBM_PLATT
2025-08,3348,0.06706841537635187,251,0.07497013142174433,FS_FINAL_164_TUNED_LIGHTGBM_PLATT
2025-09,3348,0.057245382025650944,204,0.06093189964157706,FS_FINAL_164_TUNED_LIGHTGBM_PLATT
2025-10,3345,0.05902962372799524,221,0.06606875934230194,FS_FINAL_164_TUNED_LIGHTGBM_PLATT
2025-11,3344,0.0712544480128822,266,0.07954545454545454,FS_FINAL_164_TUNED_LIGHTGBM_PLATT
2025-12,3341,0.052368465336916165,181,0.05417539658784795,FS_FINAL_164_TUNED_LIGHTGBM_PLATT
